feature,mean_importance,models_used
GLOBAL_FOUNDATION_PROBA,0.15934994124688093,4
EK_7,0.0303270924941916,4
EK_9,0.028595704017685634,4
AL_327,0.02607059059060168,4
AL_7,0.025197768593398857,4
AL_145,0.014939540799570532,4
AL_298,0.013862716632136474,4
AL_8,0.011291370338224409,4
AL_15,0.009548182676108864,4
AL_331,0.008133233136730802,4
AL_76,0.007650700251825399,4
EK_6,0.00733122829475487,4
CAT_5_G/G,0.006897323862681504,4
EK_1,0.0068145225091182805,4
AL_315,0.006646808828216756,4
missingindicator_AL_75,0.006592273528331563,4
AL_58,0.006192121762068708,4
AL_157,0.006111414200020184,4
EK_2,0.006054958778254724,4
AL_169,0.0060548000885508905,4
missingindicator_AL_1,0.006047574547369978,4
CAT_3_G/G,0.005717648307467655,4
AL_151,0.005673155972005876,4
EK_5,0.005528741639097467,4
AL_102,0.005470297376123514,4
EK_8,0.0054561200877972175,4
AL_11,0.0053054672578903995,4
AL_130,0.005278955892816045,4
AL_73,0.005227349550375408,4
AL_186,0.005136522360763538,4
AL_33,0.005074541337682258,4
AL_132,0.005001688668000272,4
AL_45,0.004970087763317511,4
AL_323,0.0049659895284991425,4
AL_296,0.00477884177469011,4
CAT_4_G/G,0.004741342421967818,4
AL_219,0.004716339297057046,4
AL_172,0.004637206015467336,4
AL_318,0.004627175648588056,4
AL_69,0.0046082014866376045,4
missingindicator_AL_6,0.004471368898315271,4
missingindicator_AL_38,0.004460917655059243,4
AL_221,0.00434999588157522,4
AL_304,0.004338759179637668,4
AL_27,0.0042553141124046425,4
missingindicator_AL_4,0.004143431992238182,4
missingindicator_AL_34,0.0041072710460521595,4
AL_230,0.0041019890651935575,4
AL_228,0.0040314117728911655,4
AL_26,0.004013054994112853,4
AL_106,0.003924227389755934,4
AL_282,0.003912403889966498,4
missingindicator_AL_27,0.00388780483991503,4
AL_297,0.003875424330280014,4
AL_260,0.0038583972255387933,4
AL_322,0.0038164430591385847,4
missingindicator_AL_5,0.0037340323835700585,4
missingindicator_AL_31,0.003664133610408339,4
AL_325,0.0036527047979114232,4
AL_289,0.0036014176665911126,4
missingindicator_AL_37,0.0035984523202849247,4
AL_148,0.003573074206461224,4
AL_14,0.0034518414547020774,4
missingindicator_AL_36,0.0034365460015038075,4
missingindicator_AL_14,0.003423576831939402,4
missingindicator_AL_2,0.0034137729009416553,4
AL_166,0.003407583198623851,4
AL_264,0.0033878343069411094,4
missingindicator_AL_11,0.003362170044089946,4
missingindicator_AL_30,0.003284792227072991,4
AL_109,0.0032346789984868695,4
missingindicator_AL_3,0.003224888652334014,4
AL_301,0.003202938923674069,4
AL_163,0.0031960192423531614,4
missingindicator_EK_3,0.0031288212914906133,4
AL_181,0.003109318793456585,4
missingindicator_AL_33,0.003093750660250483,4
AL_319,0.00307324500606039,4
AL_311,0.003045554092603505,4
missingindicator_AL_10,0.003028313165495553,4
